TEXT,Sentiment
Your credit card ending in XXXX has been pre-authorized for the total amount of ₹XXX for your upcoming hotel reservation at XYZ hotel.,Non-fraud
"Your subscription to ""Online Magazine"" has been temporarily paused upon your request. No charges will be incurred during this period.",Non-fraud
Your return request for Order #123456 has been approved. Please follow the instructions provided to initiate the return process.,Non-fraud
Your payment of ₹XXX for your gas bill has been received. Check out our energy-saving tips to lower your future bills and conserve resources.,Non-fraud
Thank you for your payment of ₹XXX for legal consultation services provided by Elite Legal Solutions. Here's your payment receipt for your records. We appreciate your trust in our firm.,Non-fraud
"Your registration for the ""Annual Conference"" has been confirmed. Your payment of ₹XXX has been successfully processed.",Non-fraud
Your credit card ending in XXXX has been pre-authorized for the total rental amount of ₹XXX for your upcoming car rental reservation.,Non-fraud
Your salary has been adjusted to reflect the recent changes in company policy. The updated amount of ₹XXX will be reflected in your next payment.,Non-fraud
We're pleased to inform you that you've received a performance bonus of ₹XXX. Congratulations on your hard work and dedication!,Non-fraud
Your pay slip for April is now available. Log in to the employee portal to view and download your detailed salary statement.,Non-fraud
We're conducting annual salary reviews. Expect a notification regarding any salary adjustments based on performance and market rates.,Non-fraud
Your overtime hours have been approved and included in your salary payment. You'll receive an additional ₹XXX in this month's payment.,Non-fraud
We've updated your payroll tax withholdings to comply with current regulations.,Non-fraud
Your pension contribution of ₹XXX has been deducted from your salary this month.,Non-fraud
